,labels,american,attack,authority,black,called,case,child,city,come,community,control,country,county,court,crime,day,death,department,did,didnt,dont,enforcement,family,federal,fight,firearm,going,government,group,gun,ha,health,help,high,home,house,im,including,just,killed,killing,know,later,law,left,letter,life,local,long,make,man,matter,medium,member,million,month,national,need,office,officer,official,old,people,place,police,political,president,public,report,republican,right,say,school,shooter,shot,state,story,student,support,texas,thats,thing,think,threat,time,took,trump,used,victim,video,violence,want,way,week,weons,white,woman,work,year,york
2081,left,0.0,0.0474335629145555,0.0,0.0,0.0471713912680495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0773939547323439,0.0,0.0,0.0,0.0,0.0,0.0534566667617626,0.0,0.0,0.0452263275419879,0.1140289702022872,0.0,0.0,0.1462110459627869,0.2600594018421517,0.1486088618872707,0.0,0.0,0.0,0.0,0.0509097568614931,0.0,0.0815684852482513,0.0,0.0,0.0,0.0,0.0,0.5266603793057844,0.0,0.0455388888334457,0.0,0.0515354531651887,0.0,0.0456359544721561,0.0,0.0448710696043981,0.0,0.0955581716070898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489054677487383,0.0,0.0,0.0,0.0471713912680495,0.0,0.173148100741176,0.0885826658258378,0.0480485844175272,0.0421961395950709,0.0,0.0437263644386325,0.4488190100337741,0.0586581601309189,0.2757281796182795,0.0,0.451940730427098,0.0,0.0,0.0,0.0,0.0718816274687041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052016588367011,0.1203709403492729,0.0
1850,left,0.0,0.1473978215971665,0.0,0.0,0.0,0.5650335277937805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844841111291671,0.0,0.0,0.0,0.0709437208905557,0.0,0.0,0.0830571829984922,0.068077883696745,0.0835990318806638,0.0,0.1771701383370859,0.0,0.0,0.0,0.4617850069754559,0.230897925079714,0.0889658562355066,0.0,0.0,0.0,0.0,0.0,0.0633676678380165,0.0589296421224859,0.0,0.0,0.0,0.0,0.1258903998663859,0.0753782139959025,0.0,0.0,0.0,0.0,0.0709059141079104,0.0,0.0,0.0,0.0742357597934683,0.0,0.0743190993236261,0.1515352132028226,0.0,0.0,0.0,0.0717861398802206,0.0,0.0,0.0,0.0,0.0,0.0,0.1465831341226215,0.0,0.0,0.0,0.0,0.1311227467210742,0.1475619210981399,0.0,0.0581119326919978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1116845820841215,0.0,0.0,0.0,0.067422779727146,0.0,0.2769846438576003,0.0,0.0,0.1382048480694845,0.0872845042953476,0.0,0.0,0.1616393823509554,0.0935119212056957,0.1734836041452114
2214,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3982796974819136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640169182630672,0.0,0.0660777676951104,0.0,0.0,0.0,0.0712070457973743,0.7056379192809077,0.0,0.0,0.0,0.0,0.0719510760383729,0.0743815222269633,0.0,0.0,0.1108287707600218,0.0,0.0,0.0,0.0,0.0591904081085339,0.0,0.0665344342769429,0.0,0.0,0.0,0.1333525033778688,0.0,0.0655587193277605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675039704466154,0.0,0.0,0.0,0.0,0.3402774600709228,0.0,0.0,0.0,0.1686516180500251,0.1294233941241216,0.0,0.0,0.0,0.0,0.1092909075089349,0.0857022997269674,0.0,0.0,0.0,0.0,0.2367654273235138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713709158149507,0.0,0.0,0.0,0.0,0.0,0.1758675414504294,0.0
1240,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269367032320439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3427998729449513,0.0,0.0,0.0,0.0,0.2598834536180726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927707268270524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305494059831039,0.0,0.5206997764442126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302063833578251,0.0,0.0,0.0,0.0,0.3095888837267861,0.0,0.3711477912555793,0.0,0.0,0.0,0.0
2276,left,0.0561941456599504,0.008905447934229,0.0,0.0661756608952938,0.0619935843267001,0.0390149333539249,0.0190584621666226,0.2412520905545633,0.0274347533064288,0.0740953953423904,0.0204717110164005,0.0174998885072845,0.0104240560294903,0.0,0.7248165268554649,0.0581215318389226,0.0097841950619678,0.0504099187026319,0.0857252306452631,0.0613742751591719,0.1114026737966668,0.0,0.0,0.0303052033346815,0.0254731468880216,0.0,0.0183530080129206,0.0107118585175457,0.1555528140330823,0.0139500105627971,0.1339232459837185,0.0,0.0500195229808462,0.0357410504525279,0.0647204183204985,0.0382323537357691,0.0635037229303731,0.0153141331542128,0.0427247719689207,0.0070094065955996,0.0198292498672807,0.0904132787382688,0.0460949759079679,0.0,0.0,0.017099462008343,0.0155296898045493,0.0870800420749734,0.0292430029297897,0.0514077279684073,0.0369616179130821,0.0168487016180905,0.1520229284864067,0.0269109551227469,0.0,0.053882332509973,0.0274662597470703,0.0501488432422773,0.1020191808293528,0.0184700836516952,0.0433715861045587,0.0230595629438981,0.2391671563596674,0.0183635835039438,0.1735994020985009,0.1202463378627174,0.035249675700432,0.1505558476505575,0.0181442703176807,0.0325078130613718,0.0831550773244927,0.0631464090796088,0.0316885767039063,0.0,0.0082094373252715,0.0140439739295566,0.1211409969550482,0.0,0.0196668042447581,0.0,0.08091963054399,0.0202830382663499,0.0496679790243105,0.044517681185158,0.0742250694095695,0.0188203354486017,0.0218308152756767,0.0667852502576013,0.0162941364515426,0.0754140517579905,0.1171435648375674,0.1347120242739176,0.0550273378021937,0.0334001158335841,0.0,0.0400414222567988,0.0525161874034252,0.0976589130049292,0.0790969466919371,0.0209629855776278
1718,left,0.0374690531185586,0.0,0.0,0.0,0.0,0.0,0.0762466470013262,0.0,0.0,0.0,0.0819005914398632,0.070011305734535,0.0,0.0,0.0,0.0,0.0391433506313264,0.0,0.0342958489670992,0.0,0.0,0.0,0.0,0.0404137214003478,0.0339698978473613,0.2569445285480223,0.0,0.0857092548155153,0.0,0.6697129212717715,0.0669728646815702,0.1290245083164694,0.0,0.0357470507521201,0.0,0.0,0.0,0.153167041303245,0.028487963142444,0.0560846668226395,0.0,0.0,0.0,0.3955793065147844,0.0,0.0342046654201209,0.0,0.0387087383540845,0.0389972164272395,0.0,0.0,0.0674061208860314,0.0,0.0,0.0874665637291509,0.0,0.0732556556093046,0.0,0.0,0.0,0.0,0.0,0.1248038130562398,0.0,0.0,0.0437332818645754,0.0,0.1062925576616333,0.0362946328490154,0.0433510274089925,0.0332676150452077,0.0,0.0633877933275391,0.035667436777696,0.0,0.3932972867058672,0.0440586670609403,0.0,0.0,0.0424320890067221,0.0,0.0,0.0,0.0,0.0269954656383165,0.0,0.0,0.0,0.0,0.0,0.1004256267436343,0.0,0.0,0.0,0.0421953647046425,0.0,0.0,0.0,0.0226029216260121,0.1257990293857899
1766,left,0.0416393500790415,0.0395931348138625,0.0421124811108222,0.0,0.1181228947863977,0.0,0.0,0.0,0.0,0.0,0.0,0.0389017739485813,0.0,0.0935231037944645,0.0907744976233966,0.0,0.0,0.0,0.0,0.0909555577075547,0.0825483665510497,0.3123446392436397,0.1462934416718403,0.0,0.0377507396341156,0.0475903992078113,0.0,0.0,0.0406811358763582,0.3721259073862281,0.0496179527043864,0.0955899375335364,0.0,0.039725689246829,0.0411062061062947,0.0424947388073925,0.0,0.0,0.0633173337246419,0.0311634386450186,0.04407988059957,0.0,0.0,0.676318756908507,0.0404953038848074,0.0380116367835154,0.0,0.0,0.0,0.0,0.0410823333025814,0.0374542032882791,0.0450590421115562,0.1994077262244157,0.0,0.0399263175924946,0.0,0.0,0.0,0.0,0.0,0.0683477043961887,0.0924629657547806,0.1632869772990736,0.0926176144982904,0.0,0.039179532923544,0.0,0.0,0.0,0.0369702929182395,0.0401064976688613,0.0352214200443192,0.0396372142554344,0.0,0.1560968513942138,0.0,0.0,0.0,0.0,0.0,0.0,0.0883284481124467,0.1484423831722537,0.030000054730602,0.0,0.0,0.0848353064825581,0.0,0.0478981075110402,0.0744019838746007,0.042780164115889,0.0,0.0371237724021402,0.0468916990533501,0.0,0.0,0.0,0.1507117295038058,0.0
2165,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0994111608915701,0.0466073716481764,0.0477009573861337,0.0,0.0,0.1369221884304704,0.0,0.0,0.0,0.4547530306266747,0.0510355022874415,0.0,0.0447152798669557,0.0,0.0,0.0,0.0,0.0,0.0442903014517543,0.0,0.0,0.0,0.0477283303274779,0.0,0.058213272216531,0.0,0.0,0.0,0.0,0.0,0.0,0.2396409125141116,0.0371428987215314,0.0,0.0,0.0,0.0961747076173896,0.0793477476501772,0.0475103066541688,0.0445963938225745,0.0,0.1514065510196396,0.0,0.0,0.0,0.087884792210749,0.0528646213978972,0.0,0.0,0.0468427548484903,0.0,0.0,0.0,0.2408552748808716,0.0904925001118687,0.0,0.1356004102864515,0.0,0.5070882449704752,0.0,0.0,0.2771706551526999,0.0473213148060291,0.0,0.0433746579266684,0.0,0.0413228277496318,0.0,0.0856427646298862,0.03662750277704,0.1723324268850957,0.0,0.0,0.0,0.0,0.0,0.155444381947838,0.0,0.1055908954737453,0.0,0.0,0.0,0.042496057819668,0.1123909963721804,0.0,0.0501909732951549,0.0,0.0871094493328132,0.0,0.0,0.3287166683060185,0.0,0.0,0.0546726885360899
41,left,0.0,0.4439699930972784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2181087755821809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2050541672014929,0.0,0.0,0.0,0.0,0.0,0.0,0.1738650918800798,0.1390953395281212,0.0,0.0,0.0,0.0,0.0,0.0,0.1908667492354287,0.3549983646006356,0.3494452183481111,0.0,0.0,0.0,0.0,0.0,0.0,0.1935533261844149,0.0,0.0,0.0,0.0,0.0,0.0,0.2236020139643022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592039154066364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175036198476842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4171461595870521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408314131184014,0.0
1059,left,0.1966989518469889,0.0,0.0,0.0,0.0929995687152963,0.0,0.0,0.0938295316979926,0.0,0.097259819702115,0.0,0.0,0.0,0.0,0.0,0.1525841027325028,0.0,0.0,0.0,0.0,0.0,0.0,0.0863839330594626,0.0,0.0,0.0,0.0,0.2249712653860477,0.0,0.0,0.1757916358784388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074775741898838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023606277414687,0.0899724169614662,0.0,0.0,0.0,0.0,0.0,0.0,0.0961414118847668,0.0,0.0,0.0,0.0910893342342058,0.0,0.109195799250621,0.0,0.0,0.0,0.0925395454694511,0.0,0.0952668354933232,0.0,0.1746429243657705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1032609287593692,0.0,0.1062175137969421,0.2129929543589532,0.0,0.0,0.0,0.0,0.8023617680940768,0.0,0.0,0.0,0.0,0.0,0.0963073603264676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2614,left,0.0347318143907991,0.0,0.011708819299538,0.01363369051118,0.0,0.0,0.0,0.0,0.0113043657069701,0.0114490018845454,0.0253058271082656,0.0216322491375775,0.0,0.0,0.0126193252171689,0.0359230704948164,0.0120945996371942,0.0,0.0423872311168771,0.0,0.0459029666228755,0.0,0.0,0.0,0.0104960946764587,0.0132318820933574,0.0226868212099861,0.0,0.0678651159435713,0.2241735054442467,0.1034671242772112,0.0,0.0,0.0,0.0,0.1181510100455614,0.0,0.0283955360841357,0.0264068228547044,0.0,0.0,0.0447052578694391,0.1595430969041221,0.0470103749805832,0.0,0.0211372673676774,0.0191968148106468,0.0,0.0,0.0105911606098375,0.0,0.0104136466611065,0.0751684300679553,0.0997968333632134,0.0270256136197651,0.0111009854004149,0.1358081735157839,0.0247963241714755,0.0252219245350447,0.0,0.0536131962049451,0.0,0.0449891867301259,0.0113499469796811,0.0,0.0675640340494129,0.1525069249776086,0.0218950074294696,0.0785007753157305,0.1339469697704398,0.1747447301325138,0.0111510820914648,0.0293785522885814,0.0,0.0101479842814814,0.0868013367054741,0.0136133450523792,0.0127981608745668,0.0364662788267607,0.0131107613433425,0.0,0.0501452037093903,0.0613963966665625,0.0,0.05838783357949,0.0116322508314114,0.8500547585651045,0.0235873367615459,0.0,0.0532697452957711,0.0,0.0237889194853828,0.034010647559817,0.0,0.0260752354827605,0.0618708243284989,0.0,0.0,0.041903406318832,0.0259131094746075
2065,left,0.2220346727449217,0.0,0.0,0.0,0.0349927789162505,0.0,0.0753039193049503,0.0,0.0,0.0,0.1213319359874517,0.0,0.0,0.0,0.0,0.0,0.0773187499567164,0.039835999536208,0.0338718087244975,0.0,0.0366812472617009,0.0,0.0,0.0399140386473861,0.0335498877249069,0.3383568249375779,0.0,0.0423247648398409,0.0361541933853947,0.5787534081013158,0.1984343992535672,0.1274292253462018,0.0,0.0,0.0,0.0755319620068504,0.0,0.0302546511147616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675635051756389,0.0,0.0,0.038515047604696,0.033853758020444,0.0,0.0332863495477587,0.0,0.0,0.1295776663495781,0.0354833702724762,0.1085248636285282,0.0396296869258079,0.0,0.0,0.0,0.0,0.0205434525909353,0.0,0.0,0.1295776663495781,0.1044590604135845,0.1049783367487515,0.0716917585429696,0.1712601090372765,0.0328562880776763,0.0,0.0,0.0,0.0324371819969798,0.0,0.0870278350465171,0.0,0.0777076044691158,0.0,0.0,0.0,0.0,0.0,0.0266616886902841,0.0,0.0,0.0,0.0,0.0,0.4628584130503128,0.0,0.0,0.0,0.041673653383159,0.0,0.0,0.0771741060746411,0.2232345490748896,0.0
2459,left,0.0671325715145417,0.0,0.0,0.0,0.0,0.06991403035203,0.0683048149944475,0.0,0.0,0.0,0.0733698459702547,0.0627189453410842,0.0,0.0,0.1463501577673892,0.0,0.0,0.0722669046592564,0.0,0.0733210349207737,0.0,0.0,0.0,0.0724084762295158,0.0,0.2301812496227268,0.0,0.0,0.0,0.7499447350462454,0.0799959834149516,0.07705689816675,0.0,0.0,0.0662730161706175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614144575686437,0.0662345275126656,0.0,0.0,0.0642985705391725,0.1567121359085021,0.3862245255032788,0.196876093591505,0.0,0.0,0.0,0.0,0.0,0.0745361857137123,0.0,0.0497739007053835,0.0,0.0,0.0634807673246556,0.0650283856285583,0.0,0.0,0.0,0.0,0.0,0.0,0.1509992305767239,0.0,0.0,0.0,0.0760247460949114,0.0,0.072693649896614,0.0,0.0,0.0483672491482045,0.0,0.0,0.0683873819906833,0.0,0.0,0.1199537575347379,0.0,0.0,0.059852382444621,0.0,0.0,0.0752864199313384,0.0,0.040497213732478,0.0
1089,left,0.0,0.1310943553351523,0.0,0.0,0.0,0.0,0.2805537497793567,0.0,0.0,0.2726838716438695,0.1506788753425513,0.1288052335628026,0.0,0.0,0.1502788842403685,0.0,0.0,0.0,0.1261934709000226,0.0,0.0,0.0,0.1210957689754327,0.0,0.0,0.0,0.0,0.1576859689900131,0.5387870707469915,0.0,0.0821434518056168,0.0,0.0,0.0,0.0,0.140701675057574,0.0,0.1127173179942916,0.0,0.0,0.1459501390232908,0.0,0.0,0.0,0.0,0.0,0.0,0.1424309411832564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2296112623751237,0.1351623275365971,0.2044402650849117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2067370133693662,0.0,0.1524085720480486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385241798642523,0.0,0.0,0.1199304812982947,0.0,0.0,0.0,0.1350067477096674,0.1229182037125169,0.0,0.0,0.3092298459620638,0.0,0.0,0.0
1091,left,0.3026805626576153,0.0,0.1530598995101471,0.0,0.143107838254057,0.0,0.0,0.0,0.0,0.0,0.0,0.1413904252201888,0.0,0.0,0.0,0.0,0.0,0.162914862862432,0.2770469493674118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2957152086483879,0.0,0.2705083619336176,0.0,0.0,0.1443849862013574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489698232403939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2902283597319083,0.0,0.0,0.0,0.1492291211043196,0.0,0.0,0.0840153077753473,0.0,0.0,0.1766419653006564,0.2847999079584543,0.143107838254057,0.0,0.0,0.4031110850986365,0.0,0.0,0.0,0.0,0.2269366967514897,0.0,0.0,0.1588980303349403,0.0,0.0,0.0,0.0,0.0,0.0,0.1520589820190407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697219057098006,0.0,0.0,0.0
2325,left,0.0,0.0821319095877008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944018049806331,0.0,0.0,0.0,0.0,0.0,0.0,0.0929826981368193,0.0,0.0,0.0,0.0,0.0,0.0,0.0783100491808607,0.0,0.0846317673132315,0.0,0.0,0.2573123810846945,0.0514636846084822,0.0,0.0922626008129804,0.0,0.1705412425304363,0.0,0.0,0.0,0.0656726671587746,0.0,0.0,0.0,0.0,0.0,0.084003367074359,0.078851253639334,0.0716125167634649,0.0892343926925552,0.0,0.0790193242157947,0.0852210995750211,0.0776949148536545,0.0,0.0,0.0,0.0,0.0,0.0,0.1881776233597862,0.0851716416603603,0.0,0.0,0.1438537257649164,0.0,0.0640419235638024,0.0,0.0,0.0,0.0,0.0,0.0,0.0831968283366371,0.3653161716330713,0.740010130937211,0.0,0.0647613913164843,0.1015674642263725,0.0,0.0,0.0,0.0,0.0935317727619696,0.0,0.0,0.0622320458923902,0.0,0.0,0.0,0.0,0.0,0.0,0.0887430759860671,0.0845830620873929,0.0,0.0,0.0,0.0,0.0900674853482073,0.0,0.0
2153,left,0.0257509718735897,0.0,0.0,0.0,0.0243501986742308,0.1609073677841566,0.0,0.0245675089671719,0.0251439559212384,0.0,0.0281434897744143,0.12028988023121,0.0,0.3759429546812902,0.0,0.0,0.0,0.0277204192732107,0.0471403127983089,0.0843742999288365,0.0255251422180193,0.0,0.0226180181404798,0.0,0.0233461433158781,0.0,0.0504616045945135,0.0589045205673341,0.0,0.6136889748981352,0.1073980923649447,0.0,0.0,0.0,0.0254212603045879,0.0788399066071517,0.0291005862593573,0.0,0.0783145210844503,0.0,0.0,0.0248591354538291,0.0,0.2509529844294783,0.0,0.0940299584718158,0.0,0.0,0.0268012169986955,0.0706727867175183,0.0508129933521079,0.0231627567095396,0.0,0.0,0.0,0.0246915833073446,0.0503456631585449,0.0275768538517772,0.0,0.0,0.0,0.0,0.1286589550138443,0.0252453409561521,0.0190924656718317,0.0,0.072689250558864,0.0487003973484617,0.0,0.0,0.3658158818670506,0.0248030118495743,0.0,0.0,0.0225718519797763,0.0193069566272195,0.0302797482681028,0.0,0.0270369439913614,0.0,0.0278110705175022,0.0836523355940926,0.1092497062833027,0.0,0.2226347618127869,0.0,0.0300119186904272,0.0262322969375463,0.0224003681099017,0.0,0.0920246541051788,0.105825936361125,0.2017302566139328,0.0229584087444783,0.0579983511335079,0.0825704327010887,0.0,0.0268513229532476,0.0621363125682085,0.0288188695987609
1132,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2303356625167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444525148501609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750105911863174,0.0,0.0,0.0,0.2201518481966788,0.0,0.2793889682213762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2226251055046519,0.0,0.6564857231711915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582946867337575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
